implementation_id,nwb_interface,object_store_backend,benchmark_id,nwb_format,local_cache,remote_cache,correct,run_status,total_seconds,setup_seconds,submit_answers_seconds,peak_rss_delta_mib,peak_rss_mib,network_received_mib,datetime_utc,result_dir
lazynwb_1dev3_hdf5_warm,lazynwb,obstore,dynamic_routing_hdf5_v0,hdf5,warm,False,True,correct,4.9065303,0.5358768,4.3706495,191.5,357.796875,38.69832134246826,2026-05-15T17:28:28Z,lazynwb_1dev3_hdf5_warm_dynamic_routing_hdf5_v0_20260515T172823Z
lazynwb_1dev5_hdf5_warm,lazynwb,obstore,dynamic_routing_hdf5_v0,hdf5,warm,False,True,correct,4.9815218,0.7014843,4.2800329,163.703125,336.1953125,26.95461082458496,2026-05-15T17:28:52Z,lazynwb_1dev5_hdf5_warm_dynamic_routing_hdf5_v0_20260515T172847Z
lazynwb_1dev5_hdf5_cold,lazynwb,obstore,dynamic_routing_hdf5_v0,hdf5,cold,False,True,correct,6.1034486,1.8082782,4.2951672,183.90234375,356.1875,29.53572177886963,2026-05-15T17:28:40Z,lazynwb_1dev5_hdf5_cold_dynamic_routing_hdf5_v0_20260515T172834Z
lazynwb_1dev3_hdf5_cold,lazynwb,obstore,dynamic_routing_hdf5_v0,hdf5,cold,False,True,correct,6.559659,1.8807592,4.6788965,149.41796875,315.65625,29.5269832611084,2026-05-15T17:28:16Z,lazynwb_1dev3_hdf5_cold_dynamic_routing_hdf5_v0_20260515T172809Z
direct_h5py_remfile,,remfile,dynamic_routing_hdf5_v0,hdf5,None,None,True,correct,12.2881692,6.76e-05,12.2880985,7.4375,104.78125,24.710098266601562,2026-05-15T17:35:04Z,direct_h5py_remfile_dynamic_routing_hdf5_v0_20260515T173451Z
lazynwb_pre1_remfile_hdf5,lazynwb,remfile,dynamic_routing_hdf5_v0,hdf5,cold,False,True,correct,22.6733007,7.8956235,14.7776724,1120.48828125,1284.63671875,509.09197998046875,2026-05-15T17:26:29Z,lazynwb_pre1_remfile_hdf5_dynamic_routing_hdf5_v0_20260515T172606Z
direct_h5py_obstore,,obstore,dynamic_routing_hdf5_v0,hdf5,None,None,True,correct,25.6285275,9.12e-05,25.6284273,26.5859375,124.10546875,427.87138652801514,2026-05-15T17:37:09Z,direct_h5py_obstore_dynamic_routing_hdf5_v0_20260515T173643Z
pynwb_hdf5_nwbfile_remfile,pynwb,remfile,dynamic_routing_hdf5_v0,hdf5,None,None,True,correct,76.7752622,76.1612102,0.6140483,291.578125,431.4140625,109.40577507019043,2026-05-15T17:40:24Z,pynwb_hdf5_nwbfile_remfile_dynamic_routing_hdf5_v0_20260515T173907Z
lazynwb_pre1_s3fs_hdf5,lazynwb,s3fs,dynamic_routing_hdf5_v0,hdf5,cold,False,True,correct,78.4970851,60.2172249,18.2798562,1182.47265625,1346.83203125,751.4282741546631,2026-05-15T17:27:53Z,lazynwb_pre1_s3fs_hdf5_dynamic_routing_hdf5_v0_20260515T172635Z
lazynwb_1dev5_zarr_warm,lazynwb,obstore,dynamic_routing_zarr_v0,zarr,warm,False,True,correct,4.8428114,1.8125894,3.0302181,220.0078125,392.33984375,23.51442813873291,2026-05-15T17:34:46Z,lazynwb_1dev5_zarr_warm_dynamic_routing_zarr_v0_20260515T173441Z
lazynwb_1dev5_zarr_cold,lazynwb,obstore,dynamic_routing_zarr_v0,zarr,cold,False,True,correct,4.8484721,2.1438481,2.7046206,202.91015625,375.203125,23.602195739746094,2026-05-15T17:34:35Z,lazynwb_1dev5_zarr_cold_dynamic_routing_zarr_v0_20260515T173430Z
direct_zarr_v3_obstore,,obstore,dynamic_routing_zarr_v0,zarr,cold,False,True,correct,5.3403865,7.73e-05,5.3403057,13.54296875,105.53515625,11.852896690368652,2026-05-15T17:38:07Z,direct_zarr_v3_obstore_dynamic_routing_zarr_v0_20260515T173802Z
direct_zarr_v2_obstore,,obstore,dynamic_routing_zarr_v0,zarr,cold,False,True,correct,8.2243492,6.89e-05,8.224277,11.54296875,97.07421875,4.376808166503906,2026-05-15T17:37:41Z,direct_zarr_v2_obstore_dynamic_routing_zarr_v0_20260515T173733Z
direct_zarr_v3_s3fs,,s3fs,dynamic_routing_zarr_v0,zarr,cold,False,True,correct,11.0274366,7.01e-05,11.027363,38.4765625,130.125,15.248239517211914,2026-05-15T17:37:57Z,direct_zarr_v3_s3fs_dynamic_routing_zarr_v0_20260515T173746Z
direct_zarr_v2_s3fs,,s3fs,dynamic_routing_zarr_v0,zarr,cold,False,True,correct,14.3152632,6.99e-05,14.3151901,41.5078125,126.6875,6.311984062194824,2026-05-15T17:37:29Z,direct_zarr_v2_s3fs_dynamic_routing_zarr_v0_20260515T173714Z
lazynwb_1dev3_zarr_warm,lazynwb,obstore,dynamic_routing_zarr_v0,zarr,warm,False,True,correct,18.5890482,7.4348304,11.1542137,528.43359375,695.10546875,27.518558502197266,2026-05-15T17:34:21Z,lazynwb_1dev3_zarr_warm_dynamic_routing_zarr_v0_20260515T173402Z
